"","market_cap_intra_day_5","enterprise_value_3","trailing_p_e","forward_p_e_1","peg_ratio_5_yr_expected_1","price_sales_ttm","price_book_mrq","enterprise_value_revenue_3","enterprise_value_ebitda_6","beta_5y_monthly","x52_week_change_3","s_p500_52_week_change_3","x52_week_high_3","x52_week_low_3","x50_day_moving_average_3","x200_day_moving_average_3","avg_vol_3_month_3","avg_vol_10_day_3","shares_outstanding_5","float","percent_held_by_insiders_1","percent_held_by_institutions_1","shares_short_4","short_ratio_4","short_percent_of_float_4","short_percent_of_shares_outstanding_4","shares_short_prior_month_4","forward_annual_dividend_rate_4","forward_annual_dividend_yield_4","trailing_annual_dividend_rate_3","trailing_annual_dividend_yield_3","x5_year_average_dividend_yield_4","payout_ratio_4","dividend_date_3","ex_dividend_date_4","last_split_factor_2","last_split_date_3","profit_margin","operating_margin_ttm","return_on_assets_ttm","return_on_equity_ttm","revenue_ttm","revenue_per_share_ttm","quarterly_revenue_growth_yoy","gross_profit_ttm","ebitda","net_income_avi_to_common_ttm","diluted_eps_ttm","quarterly_earnings_growth_yoy","total_cash_mrq","total_cash_per_share_mrq","total_debt_mrq","total_debt_equity_mrq","current_ratio_mrq","book_value_per_share_mrq","operating_cash_flow_ttm","levered_free_cash_flow_ttm","Code"
"298","3.02B","2.96B","N/A","N/A","N/A","2.44","3.84","2.39","3.95","1.40","N/A","N/A","10.58","4.88","6.54","7.72","2.39M","2.04M","422.77M","419.52M","0.43%","62.03%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.08","1.13%","2.48","N/A","N/A","05 Mar 2020","1:1","19 Mar 2008","-24.51%","32.57%","11.75%","-32.98%","1.24B","2.94","-13.20%","778.1M","749.2M","-303.9M","-0.72","-17.50%","150.3M","0.36","116.8M","14.81","1.85","1.86","360.4M","645.76M","ILU.AX"
"299","170.65M","169.23M","6.14","N/A","N/A","1.14","1.76","1.13","2.05","1.51","N/A","N/A","0.2200","0.1200","0.1770","0.1879","1.28M","1.32M","992.14M","458.46M","56.74%","6.52%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","N/A","N/A","18.81%","33.87%","19.57%","34.89%","149.49M","0.16","4.90%","57.05M","82.59M","28.11M","0.0280","105.40%","36.07M","0.04","38.53M","40.15","1.39","0.10","61.18M","24.9M","IMA.AX"
"300","777.05M","752.85M","46.67","N/A","N/A","3.26","3.32","3.16","13.92","1.53","N/A","N/A","1.9750","0.7600","1.6390","1.4075","843.9k","477.34k","396.45M","380.99M","14.28%","29.34%","N/A","N/A","N/A","N/A","N/A","0.02","0.88%","0.02","0.89%","N/A","40.57%","N/A","08 Mar 2021","0:1","18 May 1989","7.15%","12.29%","5.70%","7.45%","238.02M","0.61","-2.70%","163.41M","54.08M","17.01M","0.0420","-26.00%","59.78M","0.15","51.44M","21.95","2.96","0.59","60.73M","50.75M","IMD.AX"
"301","42.74M","27.16M","N/A","N/A","N/A","2,064.50","2.67","1,312.07","-24.08","0.41","N/A","N/A","0.0290","0.0040","0.0192","0.0220","5.1M","9.48M","1.78B","1.21B","27.30%","12.84%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","09 Feb 2011","N/A","N/A","0.00%","-6,184.77%","-6.22%","-13.35%","20.7k","0.00","-54.30%","20.7k","-1.13M","-1.69M","-0.0010","N/A","2.47M","0","N/A","N/A","8.56","0.01","-448.26k","-1.16M","IPT.AX"
"302","27.37M","15.22M","N/A","N/A","N/A","759.97","2.21","422.44","-13.28","1.26","N/A","N/A","0.0950","0.0192","0.0687","0.0584","1.62M","893.65k","374.97M","171.91M","14.56%","0.00%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","1:20","27 Aug 2020","0.00%","-3,252.64%","-7.85%","-22.28%","36.02k","0.00","-87.10%","36.02k","-1.15M","-1.47M","-0.0080","N/A","732.86k","0","43.19k","0.64","0.22","0.03","-360.88k","-2.75M","ICG.AX"
"303","5.09B","6.48B","36.90","N/A","N/A","1.28","0.98","1.63","10.49","1.09","N/A","N/A","3.2000","1.5650","2.4597","2.2024","6.66M","7.23M","1.94B","1.94B","0.12%","42.77%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.03","1.32%","N/A","47.89%","N/A","29 Nov 2019","1:1","14 Nov 2008","3.10%","7.75%","2.07%","2.49%","3.98B","2.30","-4.20%","1.77B","617.2M","123.4M","0.0710","-46.80%","634.4M","0.33","2.12B","40.71","1.15","2.68","545.1M","245.06M","IPL.AX"
"304","18.33M","14.8M","N/A","N/A","N/A","398.47","N/A","321.78","-5.90","0.62","N/A","N/A","0.0800","0.0180","0.0632","0.0547","179.34k","403.06k","269.56M","132.51M","48.39%","0.00%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","1:50","14 Jun 2016","0.00%","-14,597.83%","-155.41%","-533.73%","46k","0.00","2,300.00%","46k","-2.51M","-6.71M","-0.0390","N/A","504k","0","N/A","N/A","0.49","-0.00","-2.51M","735.12k","IDA.AX"
"305","73.57M","62.81M","N/A","N/A","N/A","475.99","23.00","406.37","-34.73","2.29","N/A","N/A","0.2800","0.0300","0.1813","0.1187","2.06M","2.17M","319.88M","214.96M","31.11%","0.00%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","N/A","N/A","0.00%","-1,170.12%","-32.72%","-85.95%","154.57k","0.00","N/A","N/A","-1.81M","-1.96M","-0.0100","N/A","627.95k","0","N/A","N/A","0.60","0.01","-1.63M","-538.1k","INF.AX"
"306","80.34M","89.35M","N/A","N/A","N/A","1,013.38","4.13","1,127.01","-94.60","1.52","N/A","N/A","0.1175","0.0090","0.0770","0.0583","7.41M","24.11M","1.32B","917.89M","6.77%","14.96%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","N/A","N/A","0.00%","-17,794.94%","-34.66%","-56.19%","79.28k","0.00","N/A","79.28k","-944.46k","-14.01M","-0.0170","N/A","2.5M","0","111.98k","0.58","3.77","0.02","-653.17k","3.02M","IVR.AX"
"307","809.23M","769.38M","N/A","N/A","N/A","N/A","6.23","N/A","-94.73","0.00","N/A","N/A","0.4850","0.0720","0.2981","0.1969","4.99M","10.03M","1.69B","937.52M","34.72%","2.13%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","1:1","06 Aug 2009","0.00%","0.00%","-4.44%","-4.83%","N/A","N/A","N/A","N/A","-8.12M","-5.45M","-0.0030","N/A","38.27M","0.02","333k","0.26","11.38","0.08","-6.77M","-48.49M","INR.AX"
"308","127.58M","96.43M","N/A","N/A","N/A","N/A","22.50","N/A","-64.97","1.48","N/A","N/A","0.0510","0.0040","0.0255","0.0157","23.42M","56.31M","2.84B","1.54B","33.32%","0.00%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","1:3","01 Dec 2011","0.00%","0.00%","-40.72%","-71.39%","N/A","N/A","N/A","N/A","-1.48M","-1.49M","-0.0010","N/A","829.93k","0","N/A","N/A","2.53","0.00","-810.9k","-500.01k","IXR.AX"
"309","230.44M","215.76M","N/A","N/A","N/A","4,539.58","1.69","4,250.52","-125.33","1.59","N/A","N/A","0.4000","0.0400","0.2108","0.1452","160.62k","476.4k","768.13M","134.41M","6.49%","74.90%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","1:1","22 Aug 2008","0.00%","-3,486.79%","-0.84%","-1.42%","50.76k","0.00","137.70%","50.76k","-1.72M","-1.77M","-0.0030","N/A","340.45k","0","8M","6.49","0.05","0.18","-2.35M","-1.7M","IRD.AX"
"310","28.53M","24.56M","N/A","N/A","N/A","N/A","0.49","N/A","-27.56","1.68","N/A","N/A","0.0450","0.0040","0.0245","0.0172","4.37M","13.7M","940.55M","464.48M","46.09%","0.00%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","5:1","03 Jul 2007","0.00%","0.00%","-1.62%","-2.60%","N/A","N/A","N/A","N/A","-891k","-1.49M","-0.0020","N/A","2.13M","0","N/A","N/A","3.41","0.06","-981k","-626.62k","IBG.AX"
"311","26.21M","19.73M","N/A","N/A","N/A","30,340.17","6.17","22,832.14","-22.09","1.06","N/A","N/A","0.0500","0.0060","0.0301","0.0303","5.82M","29.03M","708.48M","414.89M","42.67%","0.00%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","1:20","18 Dec 2017","0.00%","-227,958.45%","-31.94%","-53.61%","864","0.00","-11.30%","864","-893.06k","-1.96M","-0.0040","N/A","965.17k","0","N/A","N/A","4.68","0.01","-659.75k","-613.03k","JDR.AX"
"312","18.32B","19.06B","108.55","N/A","N/A","6.60","14.34","6.87","26.72","0.99","N/A","N/A","43.65","12.54","37.67","34.71","1.05M","825.45k","444.17M","443M","10.17%","43.33%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00","0.00%","N/A","0.00%","N/A","18 Feb 2021","1:1","08 Jan 1990","6.17%","20.84%","8.42%","14.64%","2.77B","6.26","19.80%","936.5M","713.2M","171.1M","0.38","50.40%","601.8M","1.36","1.34B","104.65","1.23","2.88","736.2M","506.09M","JHX.AX"
"313","29.42M","28.19M","∞","N/A","N/A","628.00","0.99","601.61","-23.92","0.68","N/A","N/A","0.1900","0.0900","0.1087","0.1188","34.76k","33.04k","303.33M","190.24M","27.14%","2.31%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","N/A","N/A","224.33%","-2,586.35%","-2.58%","1.46%","46.85k","0.00","393.70%","46.85k","-1.18M","105.1k","0.0000","N/A","2.62M","0.01","N/A","N/A","6.08","0.10","-1.05M","-7.06M","JAL.AX"
"314","405.16M","384.5M","N/A","N/A","N/A","122.77","3.01","116.51","-76.41","1.96","N/A","N/A","0.5850","0.1150","0.4522","0.3350","1.94M","4.32M","802.29M","508.21M","9.05%","16.12%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","3:2","15 Feb 2013","-170.61%","-155.85%","N/A","-8.04%","3.3M","0.00","455.60%","3.26M","-5.03M","-5.63M","-0.0090","N/A","5.52M","0.01","112k","0.10","5.14","0.17","2.3M","N/A","JRV.AX"
"315","63.62M","61.35M","N/A","N/A","N/A","9,007.74","10.29","8,686.14","-126.53","-0.51","N/A","N/A","2.1800","0.2300","1.0712","0.6916","48.51k","151.4k","44.8M","13.37M","72.44%","0.00%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","09 Jul 2010","N/A","N/A","0.00%","-9,634.79%","-8.37%","-5.04%","7.06k","0.00","-76.60%","7.06k","-484.88k","-250.88k","-0.0070","N/A","1.15M","0.03","137.84k","2.56","15.47","0.14","-484.68k","-1.47M","JRL.AX"
"316","646.47M","620.76M","11.79","N/A","N/A","87.32","1.47","83.85","217.07","0.64","N/A","N/A","0.3500","0.1900","0.3122","0.2884","3.24M","1.7M","1.96B","1.07B","45.16%","21.24%","N/A","N/A","N/A","N/A","N/A","0.02","6.06%","0.02","5.45%","N/A","166.67%","N/A","03 Nov 2020","N/A","N/A","753.11%","38.60%","0.32%","12.12%","7.4M","0.00","-47.20%","10.36M","2.86M","55.76M","0.0280","-56.90%","25.71M","0.01","N/A","N/A","1.96","0.22","4.41M","3.49M","JMS.AX"
"317","58.67M","46.26M","N/A","N/A","N/A","1,789.14","3.18","1,410.67","-35.28","1.94","N/A","N/A","0.0910","0.0050","0.0342","0.0452","5.71M","2.78M","1.68B","1.34B","9.04%","1.07%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","1:10","18 Apr 2016","0.00%","-4,049.41%","-6.49%","-10.71%","32.79k","0.00","135.30%","32.79k","-1.31M","-1.32M","-0.0010","N/A","2.59M","0","N/A","N/A","6.03","0.01","-1.11M","-2.57M","KAI.AX"
"318","43.66M","12.65M","N/A","N/A","N/A","N/A","2.38","N/A","-33.17","N/A","N/A","N/A","0.5300","0.1300","0.4164","0.3945","155.51k","1.61M","114.9M","N/A","50.25%","0.00%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","0.00%","N/A","N/A","N/A","N/A","N/A","-2.28k","-381.3k","-382.8k","-0.0330","N/A","395.86k","0.01","N/A","N/A","37.19","0.16","-346.9k","N/A","KAU.AX"
"319","65.47M","53.51M","N/A","N/A","N/A","138.55","3.76","113.24","-21.94","0.27","N/A","N/A","1.0000","0.2550","0.5772","0.6407","185.91k","187.83k","130.94M","21.44M","23.22%","31.53%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","N/A","N/A","0.00%","-777.38%","-17.55%","-26.57%","472.54k","0.00","-80.10%","N/A","-2.44M","-3.31M","-0.0300","N/A","8.92M","0.07","232.62k","1.37","13.84","0.13","-902.99k","-3.27M","KZR.AX"
"320","176.22M","168.44M","N/A","N/A","N/A","275.97","1.24","263.78","-8.98","0.11","N/A","N/A","0.5100","0.1250","0.2031","0.1751","1.57M","2.86M","839.16M","460.53M","40.81%","0.00%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","N/A","N/A","0.00%","-3,038.04%","-10.79%","-23.88%","638.56k","0.00","N/A","N/A","-18.76M","-18.89M","-0.0470","N/A","54.62M","0.07","50.58M","37.33","8.21","0.17","-124.38M","-9.56M","KLL.AX"
"321","11.63M","12.42M","N/A","N/A","N/A","709.54","3.25","757.90","-14.93","2.77","N/A","N/A","0.0230","0.0030","0.0130","0.0127","N/A","N/A","894.24M","194.08M","91.36%","0.00%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","1:1","08 Apr 2008","0.00%","-5,076.94%","-9.25%","-23.13%","16.38k","0.00","-93.30%","N/A","-831.8k","-900.36k","-0.0010","N/A","4.27k","0","796.6k","23.15","0.02","0.00","-755.86k","-474.18k","KGM.AX"
"322","56.41M","47.89M","N/A","N/A","N/A","447.73","0.50","380.11","-7.63","0.84","N/A","N/A","1.9600","0.7000","1.1594","1.0490","16.54k","16.42k","56.41M","39.97M","25.13%","44.52%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","10:1","28 Feb 2017","0.00%","-5,107.14%","-2.60%","-26.94%","126k","0.00","-70.50%","-2.5M","-6.28M","-33.87M","-0.6020","-23.30%","8.52M","0.15","N/A","N/A","56.06","2.01","29.12M","-37.73M","KPT.AX"
"323","164.52M","138.44M","N/A","N/A","N/A","2,205.11","2.30","1,855.64","-112.48","1.26","N/A","N/A","0.5000","0.0940","0.3436","0.2506","181.69k","221.66k","335.75M","148.15M","53.97%","1.17%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","1:10","27 Jan 2012","0.00%","-1,717.34%","-1.20%","-2.23%","74.61k","0.00","-76.90%","166.07k","-1.23M","-1.44M","-0.0050","N/A","3.56M","0.01","129.52k","0.19","4.86","0.21","-1.39M","-15.79M","KGL.AX"
"324","88.16M","86.49M","N/A","N/A","N/A","26,237.13","9.33","25,741.29","-12.45","-0.69","N/A","N/A","0.2350","0.0390","0.1588","0.1641","306.56k","392.34k","699.98M","186.24M","58.31%","0.00%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","N/A","N/A","0.00%","-214,685.30%","-34.82%","-68.50%","3.36k","0.00","23.00%","3.36k","-6.95M","-7.24M","-0.0130","N/A","1.67M","0","1","0.00","2.01","0.01","-6.82M","-4.73M","KIN.AX"
"325","76.6M","73.29M","N/A","N/A","N/A","377.09","N/A","360.76","-32.81","0.04","N/A","N/A","0.2850","0.0330","0.1080","0.0827","775.6k","1.61M","312.67M","103.65M","64.87%","0.71%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.01","5.38%","N/A","0.00%","N/A","N/A","1:1","13 Apr 2000","0.00%","-1,184.34%","-33.94%","-2,368.82%","203.15k","0.00","N/A","N/A","-2.23M","-2.75M","-0.0100","N/A","651.16k","0","5.2M","N/A","2.25","-0.00","-2.21M","-1.47M","KIS.AX"
"326","46.61M","48.19M","N/A","N/A","N/A","26,420.41","2.14","27,319.70","-133.31","0.07","N/A","N/A","0.0690","0.0180","0.0277","0.0300","3.45M","8.82M","1.55B","1.3B","16.21%","0.00%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","30 May 2018","7:5","22 Feb 2013","0.00%","-51,898.69%","-3.08%","-6.18%","1.76k","0.00","-85.70%","1.76k","-361.5k","-1.12M","-0.0010","N/A","578.18k","0","610.86k","3.47","0.75","0.01","-132.41k","-2.18M","KRR.AX"
"327","10.56M","1.25M","50.00","N/A","N/A","1,760,416.62","N/A","208,333.38","N/A","N/A","N/A","N/A","0.3300","0.2200","0.2414","0.2437","557.68k","526.28k","42.25M","4.31M","48.28%","0.00%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","412,850.00%","412,850.00%","62.98%","N/A","6","0.00","N/A","6","N/A","24.77k","0.0050","N/A","N/A","N/A","N/A","N/A","0.33","-0.01","-24.54k","-33.83k","KFM.AX"
"328","220.57M","209.01M","N/A","N/A","N/A","N/A","17.73","N/A","-9.05","0.64","N/A","N/A","1.1450","0.3200","0.9378","0.7946","450.74k","564.6k","226.23M","196.82M","12.23%","15.33%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","08 Mar 2013","1:1","13 Sep 2001","0.00%","0.00%","-22.20%","-95.36%","N/A","N/A","N/A","-2.15M","-23.1M","-24.24M","-0.1080","N/A","15.57M","0.07","12.71M","103.22","3.25","0.05","-24.44M","-15.81M","KCN.AX"
"329","38.69M","17.47M","1.96","N/A","N/A","0.55","0.73","0.25","0.51","0.47","N/A","N/A","0.0570","0.0230","0.0407","0.0372","2.15M","3.1M","730.01M","417.97M","34.75%","0.00%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","13 Jun 2012","N/A","N/A","27.35%","30.85%","24.92%","42.27%","70.65M","0.10","34.40%","36.52M","34.18M","19.32M","0.0270","N/A","23.07M","0.03","90.83k","0.17","11.86","0.07","21.39M","14.14M","KRM.AX"
"330","68.05M","48.94M","N/A","N/A","N/A","N/A","1.90","N/A","-33.91","2.37","N/A","N/A","0.3250","0.0700","0.2560","0.2587","760.92k","651k","283.56M","151.2M","40.87%","3.43%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","1:10","08 Nov 2019","0.00%","0.00%","-3.89%","-3.25%","N/A","N/A","N/A","N/A","-1.44M","-751.59k","-0.0040","N/A","6.51M","0.03","116.42k","0.42","3.04","0.13","-1.02M","-5.79M","KSN.AX"
"331","13.17B","12.88B","17.68","N/A","N/A","6.04","2.77","5.91","8.72","0.66","N/A","N/A","80.50","38.44","54.15","64.21","5.02k","21.91k","267.02M","272.84M","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.73","1.45%","0.44","0.87%","N/A","13.19%","N/A","30 Dec 2020","N/A","N/A","33.21%","53.75%","16.14%","22.10%","2.18B","8.55","65.90%","1.06B","1.48B","724.27M","2.83","14.40%","848.52M","3.11","26.2M","0.53","2.15","18.06","1.14B","550.68M","KLA.AX"
"332","16.09M","14.06M","N/A","N/A","N/A","1,243.83","9.50","1,087.34","-5.25","2.79","N/A","N/A","0.0620","0.0180","0.0238","0.0269","5.71M","2.85M","846.79M","560.12M","29.37%","0.00%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","1:10","02 Dec 2011","0.00%","-20,720.63%","-107.38%","-639.57%","12.94k","0.00","96.10%","12.94k","-2.68M","-3.1M","-0.0040","N/A","1.42M","0","N/A","N/A","5.79","0.00","-2.34M","-2.87M","KFE.AX"
"333","12.26M","8.61M","∞","N/A","N/A","174.77","6.33","122.76","-6.67","1.44","N/A","N/A","0.0310","0.0020","0.0196","0.0182","2.52M","4.2M","645.39M","375.27M","45.89%","0.00%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","1:400","01 Mar 2016","4.62%","-1,847.96%","-41.57%","-89.41%","70.16k","0.00","N/A","70.16k","-1.29M","-1.5M","0.0000","N/A","1.67M","0","N/A","N/A","19.90","0.00","-2.07M","-1.12M","KMT.AX"
"334","5.98M","8.72M","N/A","N/A","N/A","26.02","3.60","37.93","16.67","1.13","N/A","N/A","0.0250","0.0040","0.0141","0.0151","259.5k","109.47k","332.49M","154.77M","52.55%","0.00%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","1:1","31 Mar 2008","-113.54%","223.13%","7.49%","-15.00%","230k","0.00","209,372.00%","230k","523.27k","-261.14k","-0.0010","N/A","163.84k","0","2.24M","125.78","0.43","0.00","-85.38k","-47.99k","KOR.AX"
"335","46.36M","24.09M","N/A","N/A","N/A","5,470.14","0.17","2,841.56","-5.46","0.69","N/A","N/A","0.0470","0.0090","0.0169","0.0146","2.16M","974.75k","2.45B","683.85M","0.00%","2.13%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","N/A","N/A","0.00%","-51,799.66%","-1.72%","-2.76%","8.48k","0.00","-27.70%","N/A","-4.41M","-4.37M","-0.0030","N/A","1.84M","0","N/A","N/A","3.16","0.10","-4.76M","-11.41M","KP2.AX"
"336","19.25M","16.63M","N/A","N/A","N/A","1,341.11","34.50","1,158.68","N/A","0.38","N/A","N/A","0.1400","0.0250","0.0706","0.0800","1.04M","923.85k","278.95M","172.17M","29.27%","0.00%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","N/A","N/A","0.00%","-16,298.45%","-252.17%","-726.44%","14.35k","0.00","N/A","14.35k","N/A","-2.65M","-0.0150","N/A","686.17k","0","N/A","N/A","2.91","0.00","-1.98M","-811.3k","KTA.AX"
"337","6.39M","2.33M","N/A","N/A","N/A","4,533.74","N/A","1,655.94","-6.82","0.88","N/A","N/A","0.0690","0.0268","0.0413","0.0374","467.68k","2M","155.81M","25.97M","51.37%","0.00%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","N/A","N/A","0.00%","-24,477.22%","-13.19%","-23.43%","1.41k","0.00","-98.70%","1.41k","-342.35k","-339.87k","-0.0020","N/A","13.04k","0","134.4k","N/A","0.07","-0.00","-242.37k","-39.98k","KGD.AX"
"338","27.12M","19.25M","N/A","N/A","N/A","7,961.22","12.00","5,651.96","N/A","1.03","N/A","N/A","0.0290","0.0040","0.0196","0.0150","6.09M","13.59M","1.13B","523.89M","53.89%","0.46%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","1:5","21 Mar 2018","0.00%","-6,621.61%","-7.89%","-25.79%","3.41k","0.00","-56.30%","-50k","N/A","-447.1k","-0.0010","N/A","1.78M","0","N/A","N/A","24.74","0.00","-155.69k","-77.65k","LSA.AX"
"339","327.48M","223.14M","N/A","N/A","N/A","N/A","13.00","N/A","-56.99","-1.55","N/A","N/A","0.4600","0.0220","0.1376","0.0726","15.06M","44.04M","1.01B","533.38M","17.63%","0.00%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","N/A","N/A","0.00%","0.00%","-15.13%","-30.65%","N/A","N/A","N/A","N/A","-3.92M","-4.42M","-0.0080","N/A","60.51k","0","N/A","N/A","0.54","0.03","-2.6M","-6.18M","LKE.AX"
"340","22.65M","25.41M","∞","N/A","N/A","1.18","1.50","1.33","8.99","1.60","N/A","N/A","0.0110","0.0030","0.0069","0.0075","4.74M","16.42M","3.78B","2.38B","56.58%","0.00%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","1:300","04 Dec 2012","8.69%","12.01%","8.69%","13.13%","19.14M","0.00","N/A","5.58M","2.83M","1.66M","0.0000","N/A","597.51k","0","1.82M","13.38","0.72","0.00","1.99M","-2.03M","LNY.AX"
"341","89.77M","35.22M","N/A","N/A","N/A","-369,424.47","N/A","-144,948.81","-27.98","2.10","N/A","N/A","0.0850","0.0020","0.0357","0.0226","22.29M","23.26M","1.21B","327.9M","22.02%","4.28%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","1:25","04 Sep 2019","0.00%","527,511.52%","-6.31%","N/A","-243","0.00","-52.20%","N/A","-1.26M","-5.27M","-0.0130","N/A","184.63k","0","2.37M","N/A","0.12","-0.01","-492.84k","627.09k","LRS.AX"
"342","31.18M","N/A","N/A","N/A","N/A","3,118.36","N/A","N/A","N/A","0.70","N/A","N/A","0.0440","0.0100","0.0292","0.0235","2.33M","1.91M","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","LCD.AX"
"343","29.82M","34.32M","N/A","N/A","N/A","3.38","7.67","3.89","-27.20","1.42","N/A","N/A","0.0290","0.0050","0.0228","0.0240","501.69k","600.07k","1.3B","794.24M","39.62%","0.00%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","1:1","27 Aug 1997","68.36%","-14.33%","-6.56%","-45.89%","8.81M","0.01","1,141.70%","N/A","-1.26M","-2.08M","-0.0020","N/A","38.53k","0","3.89M","106.44","2.17","0.00","-1.06M","-9.31M","LMG.AX"
"344","102.87M","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.0780","0.0176","0.0504","0.0289","1.13M","528.84k","1.49B","N/A","68.97%","2.25%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","17:20","01 Dec 2020","0.00%","0.00%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","-0.0030","N/A","N/A","N/A","N/A","N/A","N/A","-0.00","N/A","N/A","LER.AX"
"345","24.6M","18.11M","N/A","N/A","N/A","1,259.71","1.72","927.08","-25.68","-0.23","N/A","N/A","0.3400","0.1250","0.2044","0.2369","98.24k","253.69k","120.01M","52.84M","45.98%","10.71%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","26 Jan 2011","3:1","02 Dec 2010","0.00%","-3,742.96%","-4.58%","-3.94%","19.53k","0.00","-49.00%","19.53k","-705k","-379k","-0.0040","N/A","1.3M","0.01","N/A","N/A","5.24","0.12","-465k","-2.88M","LEX.AX"
