"","market_cap_intra_day_5","enterprise_value_3","trailing_p_e","forward_p_e_1","peg_ratio_5_yr_expected_1","price_sales_ttm","price_book_mrq","enterprise_value_revenue_3","enterprise_value_ebitda_6","beta_5y_monthly","x52_week_change_3","s_p500_52_week_change_3","x52_week_high_3","x52_week_low_3","x50_day_moving_average_3","x200_day_moving_average_3","avg_vol_3_month_3","avg_vol_10_day_3","shares_outstanding_5","float","percent_held_by_insiders_1","percent_held_by_institutions_1","shares_short_4","short_ratio_4","short_percent_of_float_4","short_percent_of_shares_outstanding_4","shares_short_prior_month_4","forward_annual_dividend_rate_4","forward_annual_dividend_yield_4","trailing_annual_dividend_rate_3","trailing_annual_dividend_yield_3","x5_year_average_dividend_yield_4","payout_ratio_4","dividend_date_3","ex_dividend_date_4","last_split_factor_2","last_split_date_3","profit_margin","operating_margin_ttm","return_on_assets_ttm","return_on_equity_ttm","revenue_ttm","revenue_per_share_ttm","quarterly_revenue_growth_yoy","gross_profit_ttm","ebitda","net_income_avi_to_common_ttm","diluted_eps_ttm","quarterly_earnings_growth_yoy","total_cash_mrq","total_cash_per_share_mrq","total_debt_mrq","total_debt_equity_mrq","current_ratio_mrq","book_value_per_share_mrq","operating_cash_flow_ttm","levered_free_cash_flow_ttm","Code"
"164","17.04M","14.52M","N/A","N/A","N/A","N/A","N/A","N/A","-1.04","0.85","-40.00%","16.75%","0.0030","0.0010","0.0011","0.0017","54.12M","23.93M","17.03B","11.07B","17.97%","0.00%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","N/A","N/A","0.00%","0.00%","-301.48%","N/A","N/A","N/A","N/A","N/A","-13.94M","-15.67M","-0.0030","N/A","529.88k","0","2.01M","N/A","0.14","-0.00","-4.07M","1.35M","CLZ.AX"
"165","223.69M","229.06M","18.18","N/A","N/A","2.53","3.89","2.60","12.10","0.84","-52.38%","16.75%","3.0000","1.3300","1.5146","1.8633","457.74k","397.17k","166.31M","116.27M","10.28%","28.60%","N/A","N/A","N/A","N/A","N/A","0.03","1.86%","0.03","1.79%","1.22","23.49%","N/A","27 Oct 2020","N/A","N/A","14.15%","20.80%","14.69%","24.32%","88.28M","0.53","19.40%","29.71M","18.93M","12.49M","0.0740","39.80%","9.24M","0.06","14.62M","25.39","5.40","0.35","6.66M","1.62M","CLV.AX"
"166","81.91M","67.3M","N/A","N/A","N/A","660.59","2.73","542.72","-32.75","0.24","176.92%","16.75%","0.4700","0.0760","0.3198","0.1542","1.8M","1.87M","248.22M","156.93M","23.78%","0.00%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","N/A","N/A","0.00%","-1,718.55%","-5.90%","-12.10%","124k","0.00","470.40%","124k","-2.06M","-2.38M","-0.0160","N/A","2.06M","0.01","3.43M","17.74","1.09","0.12","-1.85M","-2.83M","COB.AX"
"167","21.95M","14.45M","N/A","N/A","N/A","N/A","2.39","N/A","-8.38","N/A","-19.23%","16.75%","0.2950","0.0850","0.2498","0.1947","173.79k","152.98k","104.52M","26.12M","112.79%","0.00%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","N/A","N/A","0.00%","0.00%","-19.81%","-40.34%","N/A","N/A","N/A","-37.95k","-1.73M","-1.97M","-0.0290","N/A","7.17M","0.07","N/A","N/A","8.83","0.09","-1.48M","-1.1M","CBE.AX"
"168","25.23M","5.78M","N/A","N/A","N/A","N/A","1.72","N/A","-1.91","N/A","-34.09%","16.75%","0.5100","0.2400","0.3086","0.3277","145.06k","67.07k","85.52M","15.65M","43.06%","1.17%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","0.00%","-48.12%","-108.94%","N/A","N/A","N/A","N/A","-3.03M","-3.94M","-0.1180","N/A","4.19M","0.12","99.65k","1.73","8.21","0.17","-3.82M","-1.93M","COD.AX"
"169","54.18M","33.84M","N/A","N/A","N/A","3,845.77","9.75","2,402.44","-36.34","2.02","412.50%","16.75%","0.0570","0.0030","0.0387","0.0220","14.07M","5.85M","1.39B","686.2M","18.24%","0.00%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","3:1","02 Dec 2014","0.00%","-7,168.72%","-15.50%","-32.34%","14.09k","0.00","-36.70%","N/A","-931.31k","-1.29M","-0.0020","N/A","904.28k","0","10.09k","0.25","9.59","0.00","-731.57k","-966.62k","CHK.AX"
"170","67.41M","68.82M","N/A","N/A","N/A","7.21","7.30","7.36","-28.41","1.87","92.50%","16.75%","0.0850","0.0220","0.0791","0.0642","874.7k","827.32k","923.38M","470.9M","42.01%","0.00%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","1:1","23 Dec 2009","-27.54%","-27.29%","-6.12%","-30.64%","9.35M","0.01","99.50%","8.41M","-2.42M","-2.57M","-0.0030","N/A","779.72k","0","2.19M","24.72","0.06","0.01","-1.88M","7.67M","CKA.AX"
"171","17.89M","12.62M","N/A","N/A","N/A","N/A","9.00","N/A","N/A","2.03","-3.70%","16.75%","0.0330","0.0080","0.0223","0.0219","7.33M","21.5M","662.59M","381.26M","21.63%","0.00%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","25 Jun 2001","N/A","N/A","0.00%","0.00%","-108.55%","-137.68%","N/A","N/A","N/A","N/A","N/A","-1.51M","-0.0050","N/A","673.69k","0","N/A","N/A","6.56","0.00","-1.38M","-1.39M","CRL.AX"
"172","13.84M","14.07M","N/A","N/A","N/A","608.09","0.90","618.20","-31.58","0.86","337.50%","16.75%","0.0470","0.0030","0.0318","0.0256","1.93M","2.21M","832.08M","213.09M","36.39%","0.00%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","1:1","03 Aug 2007","0.00%","-1,961.80%","-1.76%","-2.30%","22.76k","0.00","96.30%","22.76k","-445.43k","-349.97k","-0.0010","N/A","171.4k","0","401.38k","2.64","0.81","0.04","-188.58k","-603.87k","CNJ.AX"
"173","82.48M","110.4M","N/A","N/A","N/A","3.11","2.12","4.17","-4.32","0.18","-21.88%","16.75%","0.1700","0.1200","0.1250","0.1250","N/A","N/A","659.81M","199.83M","95.41%","0.00%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","1:10","03 May 2018","-152.75%","-143.06%","-23.26%","-109.85%","26.49M","0.05","147.70%","-5.69M","-25.55M","-40.46M","-0.0740","N/A","10.5M","0.02","47.88M","138.48","0.34","0.06","-19.19M","-27.15M","CSD.AX"
